Gene	SNP	Disease	Genome_Region	Pvalue	Log_Pvalue	Allele_Frequency
FTO	rs1558902	Obesity	intron_variant	2.00E-81	80.70	0.41
FTO	rs1421085	Dietary macronutrient intake	intron_variant	1.00E-09	9.00	0.42
APOE	rs7412	Lipid traits	missense_variant	3.00E-53	52.52	0.12
APOE	rs7412	Lipid traits	missense_variant	2.00E-30	29.70	0.12
FTO	rs62033400	Body mass index	intron_variant	2.00E-14	13.70	NR
FTO	rs8050136	Menarche (age at onset)	intron_variant	2.00E-17	16.70	0.6
FTO	rs8050136	Body mass index	intron_variant	1.00E-07	7.00	0.39
APOE	rs769449	Cognitive decline (age-related)	non_coding_transcript_exon_variant	5.00E-19	18.30	0.116
ESR1	rs2982552	Bone properties (heel)	intron_variant	2.00E-10	9.70	0.46
FTO	rs9936385	Type 2 diabetes	intron_variant	1.00E-12	12.00	0.39
FTO	rs1558902	Body mass index	intron_variant	7.00E-27	26.15	0.15
FTO	rs17817449	Breast cancer	intron_variant	6.00E-14	13.22	0.6
FTO	rs11075995	Breast cancer	intron_variant	4.00E-08	7.40	0.24
KLK3	rs10424878	PCA3 expression level	intron_variant	1.00E-08	8.00	0.4
APOE	rs769449	Alzheimer's disease biomarkers	non_coding_transcript_exon_variant	2.00E-16	15.70	NR
APOE	rs769449	Alzheimer's disease biomarkers	non_coding_transcript_exon_variant	2.00E-18	17.70	NR
FTO	rs1421085	Obesity (early onset extreme)	intron_variant	3.00E-28	27.52	0.41
FTO	rs17817964	Body mass index	intron_variant	1.00E-10	10.00	0.12
FTO	rs9940128	Body mass index	intron_variant	4.00E-23	22.40	0.44
KLK3	rs17632542	Prostate cancer (early onset)	missense_variant	1.00E-07	7.00	0.92
KLK3	rs1058205	Prostate-specific antigen levels	3_prime_UTR_variant	8.00E-21	20.10	NR
APOE	rs429358	Cerebrospinal AB1-42 levels in Alzheimer's disease dementia	missense_variant	4.00E-17	16.40	0.442
FTO	rs1558902	Height adjusted BMI	intron_variant	9.00E-10	9.05	0.4
FTO	rs8043757	Obesity	intron_variant	5.00E-110	109.30	0.4
FTO	rs7185735	Obesity	intron_variant	1.00E-79	79.00	0.4
FTO	rs1421085	Obesity	intron_variant	6.00E-39	38.22	0.41
FTO	rs11075990	Body mass index	intron_variant	2.00E-51	50.70	0.4
ESR1	rs2982712	Height	intron_variant	4.00E-10	9.40	0.47
FTO	rs17817449	Breast cancer	intron_variant	6.00E-07	6.22	0.526
KLK3	rs2735839	Prostate-specific antigen levels	upstream_gene_variant	6.00E-37	36.22	0.58
FTO	rs8050136	Type 2 diabetes	intron_variant	6.00E-06	5.22	0.34
FTO	rs1121980	HDL cholesterol	intron_variant	7.00E-09	8.15	0.43
FTO	rs1121980	Triglycerides	intron_variant	3.00E-08	7.52	0.43
KLK3	rs17632542	Prostate cancer	missense_variant	2.00E-28	27.70	
ESR1	rs3020418	Height	intron_variant	8.00E-24	23.10	0.296
APOE	rs429358	Lewy body disease	missense_variant	1.00E-12	12.00	0.732
APOE	rs429358	Lewy body disease	missense_variant	5.00E-12	11.30	0.7347
APOE	rs429358	Lewy body disease	missense_variant	3.00E-11	10.52	0.7344
FTO	rs7193144	Sasang constitutional medicine type (So-Eum)	intron_variant	1.00E-07	7.00	0.858
KLK3	rs62113212	Prostate cancer aggressiveness	non_coding_transcript_exon_variant	6.00E-09	8.22	0.061
FTO	rs1558902	Body mass index	intron_variant	1.00E-93	93.00	0.418
FTO	rs1558902	Body mass index	intron_variant	4.00E-84	83.40	0.413
FTO	rs1558902	Body mass index	intron_variant	8.00E-153	152.10	0.415
FTO	rs1558902	Body mass index	intron_variant	1.00E-156	156.00	0.409
FTO	rs8050136	Weight	intron_variant	5.00E-36	35.30	0.41
FTO	rs6499640	Weight	intron_variant	6.00E-14	13.22	0.65
FTO	rs1421085	Obesity	intron_variant	1.00E-28	28.00	0.4
FTO	rs1421085	Obesity	intron_variant	7.00E-18	17.15	0.4
FTO	rs1421085	Obesity	intron_variant	5.00E-13	12.30	0.41
FTO	rs6499640	Body mass index	intron_variant	4.00E-13	12.40	0.41
FTO	rs8050136	Body mass index	intron_variant	1.00E-47	47.00	0.41
